sub_num,sub_name,sub_label,sub_value
4,Gary Looney,Q02 Other AI risks and recommendations for regulation,Refer to my Submission
4,Gary Looney,Q03 Non-regulatory actions to address AI risks,Refer to my Submission
4,Gary Looney,Q04 Coordinating AI governance across government,Refer to my Submission
4,Gary Looney,Q05 International models for AI governance,Refer to my Submission
4,Gary Looney,Q06 Public vs Private sector governance,Refer to my Submission
4,Gary Looney,Q07 Responsible government use of AI,Refer to my Submission
4,Gary Looney,Q08 Generic vs technology-specific approaches for AI risk,Refer to my Submission
4,Gary Looney,Q09 Transparency requirements and scope,Refer to my Submission
4,Gary Looney,Q10 Ban on high-risk AI applications,Refer to my Submission
4,Gary Looney,Q11 Actions to increase public trust in AI,Refer to my Submission
4,Gary Looney,Q12 Trade impact of banning high-risk AI applications,Refer to my Submission
4,Gary Looney,Q13 Changes to conformity infrastructure,Refer to my Submission
4,Gary Looney,Q14 Risk-based approach to address AI risks,Refer to my Submission
4,Gary Looney,Q15 Benefits and limitations of risk-based approach,Refer to my Submission
4,Gary Looney,Q16 Scope and application of risk-based approach,Refer to my Submission
4,Gary Looney,Q17 Elements to include in risk-based approach,Refer to my Submission
4,Gary Looney,Q18 Integration of risk-based approach into existing frameworks,Refer to my Submission
4,Gary Looney,Q19 Application of risk-based approach to general purpose AI,Refer to my Submission
4,Gary Looney,Q20 Voluntary vs mandated compliance with risk-based approach,Refer to my Submission
6,Dr Mehrdad Arashpour,Transcription,"FILENAME: XAI_Environmental_Management.c4949b1834356.pdf | CONTENT: Journal of Environmental Management 342 (2023) 118149Contents lists available at ScienceDirectJournal of Environmental Management journal homepage: www.elsevier.com/locate/jenvmanShort communicationAI explainability framework for environmental management research Mehrdad Arashpour Department of Civil Engineering, Monash University, Melbourne, VIC, 3800, AustraliaA R T I C L E I N F O A B S T R A C THandling Editor: Jason Michael Evans Deep learning networks powered by AI are essential predictive tools relying on image data availability and processing hardware advancements. However, little attention has been paid to explainable AI (XAI) in appli­ Keywords: cation fields, including environmental management. This study develops an explainability framework with a Environmental crisis triadic structure to focus on input, AI model and output. The framework provides three main contributions. (1) A Environmental management res"
6,Dr Mehrdad Arashpour,Q01 Definitions,"To some extent. Unlike other AI models that focus on recognizing or classifying existing data, generative models have the ability to create new data that resembles the patterns and characteristics of the training data they have been exposed to."
6,Dr Mehrdad Arashpour,Q02 Other AI risks and recommendations for regulation,"The global AI landscape is diverse, with different countries taking varied approaches to AI regulation. Overly strict regulations in one jurisdiction may put businesses at a disadvantage compared to those in regions with more favorable regulatory environments."
6,Dr Mehrdad Arashpour,Q03 Non-regulatory actions to address AI risks,"Foster collaboration between government and private sector entities involved in AI development and deployment. Engage with industry leaders, research institutions, and civil society organizations to leverage their expertise and perspectives in shaping AI governance policies."
6,Dr Mehrdad Arashpour,Q04 Coordinating AI governance across government,"Encourage transparency in AI governance practices by providing accessible information about AI initiatives, policies, and guidelines. Engage with the public through consultations, open forums, and public hearings to gather input and address concerns."
6,Dr Mehrdad Arashpour,Q05 International models for AI governance,The General Data Protection Regulation (GDPR) is the most relevant to Australia
6,Dr Mehrdad Arashpour,Q06 Public vs Private sector governance,No
6,Dr Mehrdad Arashpour,Q07 Responsible government use of AI,"Government can demonstrate leadership in responsible AI practices by integrating ethical considerations into its own AI projects and deployments. By implementing robust governance mechanisms and adhering to ethical standards, government can set a positive example for other organizations and encourage responsible AI adoption more broadly."
6,Dr Mehrdad Arashpour,Q08 Generic vs technology-specific approaches for AI risk,"Generic solutions play a vital role in educating and creating awareness about the risks of AI among stakeholders. They can serve as educational tools and resources, helping organizations and individuals understand the potential risks associated with AI and providing guidance on how to mitigate them effectively."
6,Dr Mehrdad Arashpour,Q10 Ban on high-risk AI applications,It is crucial to weigh these risks against the potential benefits they can bring. Striking a balance between managing the risks and harnessing the benefits is a more nuanced and considered approach than a complete ban.
6,Dr Mehrdad Arashpour,Q11 Actions to increase public trust in AI,Encourage government agencies to adopt responsible AI procurement practices. Prioritize AI solutions that align with ethical standards and demonstrate transparency and fairness.
6,Dr Mehrdad Arashpour,Q12 Trade impact of banning high-risk AI applications,"A complete ban may lead to unintended consequences, such as driving the development of AI technologies underground or to jurisdictions with looser regulations. This could potentially exacerbate the risks, as there would be limited oversight and accountability."
6,Dr Mehrdad Arashpour,Q13 Changes to conformity infrastructure,Promote digital literacy and provide training opportunities for individuals to learn about AI and its implications. This will empower people to make informed decisions about AI adoption and use.
6,Dr Mehrdad Arashpour,Q14 Risk-based approach to address AI risks,Yes
6,Dr Mehrdad Arashpour,Q18 Integration of risk-based approach into existing frameworks,Conduct a thorough gap analysis to identify areas where existing frameworks may not adequately address AI-specific risks. Determine the extent to which AI risks can be incorporated within the existing framework or if modifications or additions are required
6,Dr Mehrdad Arashpour,Q20 Voluntary vs mandated compliance with risk-based approach,"Public organizations serve the interests of the public, and there is an increasing expectation for responsible and trustworthy AI deployments. By adopting a risk-based approach, public organizations can align their AI strategies with public expectations, addressing concerns related to fairness, accountability, transparency, and the ethical use of AI."
7,Thomas Burns,Transcription,"FILENAME: 2023 - Epistemic virtues of harnessing rigorous machine learning systems in ethically sensitive domains.e1aaf2934ac9d.pdf | CONTENT: CommentaryEpistemic virtues of harnessing rigorous identify and interrogate a physician’s biases precisely at any day or time, now or in the past? If the ML system is suffi- machine learning systems in ethicallyJ Med Ethics: first published as 10.1136/jme-2023-109105 on 31 May 2023. Downloaded from http://jme.bmj.com/ on June 1, 2023 by guest. Protected by copyright. ciently interpretable and explainable, then it offers an opportunity for us to sensitive domains formalise the expertise and critical eval- uations of collectives of professionals and the people they serve. Thomas F Burns﻿﻿ For such ML systems to be successful in doing so, however, they need to be rigorously developed and applied. I Some physicians, in their care of person’s testimony is attributed less consider a rigorous ML system to be patients at risk of misusing opioids, use cr"
7,Thomas Burns,Transcription,"FILENAME: Detecting danger in gridworlds using Gromov's Link Condition-compressed.dab451cbdc8ca.pdf | CONTENT: Detecting danger in gridworlds using Gromov’s Link ConditionThomas F Burns Robert Tang Neural Coding and Brain Computing Unit Department of Pure Mathematics OIST Graduate University Xi’an Jiaotong–Liverpool University 1919-1 Tancha, Onna-son, Kunigami-gun 111 Ren’ai Road, Suzhou Industrial Park Okinawa, Japan 904-0495 Suzhou, Jiangsu Province, China 215123 t.f.burns@gmail.com robert.tang@xjtlu.edu.cn ORCID 0000-0002-1123-2929 ORCID 0000-0001-7021-4117AbstractGridworlds have been long-utilised in AI research, particularly in reinforcement learning, as they provide simple yet scalable models for many real-world applica- tions such as robot navigation, emergent behaviour, and operations research. We initiate a study of gridworlds using the mathematical framework of reconfigurable systems and state complexes due to Abrams, Ghrist & Peterson. State complexes represent all possible "
7,Thomas Burns,General comment,"It is vital that the government (1) commit to invest heavily in fundamental research in AI safety and explainability/interpretability; and (2) ignore extreme attitudes (e.g., 'alarmists' and 'extreme optimists') which are not backed by rigorous scientific standards."
7,Thomas Burns,Q01 Definitions,No.
7,Thomas Burns,Q05 International models for AI governance,Yes
8,Anonymous,General comment,"We need to make sure we have a fail-safe way to switch off AI, if it gets unreliable or unpredictable. If we let AI get smarter than us, we will no longer exist."
9,Peter Cotton,General comment,"The artificial intelligence revolution is leaving behind small businesses and organizations who cannot afford to hire in-house teams of data scientists to build bespoke models.Regulation of ""AI"", something politicians are dreadfully placed to comprehend never mind sensibly regulate, will create fixed costs that increase trade friction in data and models. As this regulation will likely exclude the military, it will hardly serve to protect anyone from SciFi scenarios they may fear. It will simply lead to people hiding behind definitions like ""non-models"" and other insanity I have witnessed first hand in bulge bracket banks where attempts to regulate mathematics are borderline farcical.Australia can pursue the opposite approach by providing a public utility allowing algorithms to traverse to business problems. This new internet for algorithms, as it might be termed, could dramatically lower the cost of providing ""AI"" to as many businesses and small organizations as possible, thus counteri"
9,Peter Cotton,Q01 Definitions,"No I do not agree. Speaking as someone who has developed automated and semi-automated trading algorithms I struggle to find any logic in the following definition for ""automated decision making"", since it obviously includes last-look and semi-automated decision making.o make interim assessments or decisions leading up to the final decision o recommend a decision to a human decision-maker o guide a human decision-maker through relevant facts, legislation or policy o automate aspects of the fact-finding process which may influence an interim decisionMy response to this definition of ""automated"" must be in the vain of John McEnroe ""you cannot be serious""!"
9,Peter Cotton,Q02 Other AI risks and recommendations for regulation,"Imbalance of power between small AI users and large, which this regulation will make worse."
9,Peter Cotton,Q03 Non-regulatory actions to address AI risks,"Yes. Build a utility described in the book ""Microprediction; Building an Open AI Network"""
10,Matthew Tucker,Transcription,"FILENAME: AI_submission_20230602.7b2469d611805.docx | CONTENT: Supporting Responsible AI Submission2 Jun 2023The advent of AI tools such as ChatGPT will be the start of a technology driven productivity increase of a degree we have not seen from IT before. The tools will affect every aspect of the economy the way that steam power affected every aspect of life during the industrial revolution. However, unlike the industrial revolution, the effects good and bad, will not take decades. These tools are currently being introduced at a rapid pace in business, and have already been used by many, if not most, students in high schools and universities in this country just a few months after ChatGPT went public.Unlike other IT, these tools do not require any training or skill to use. Business will not need to hire people with specialist training. The tools allow people to more rapidly complete the work they already do, and take on tasks beyond their current level of expertise. This will necessari"
10,Matthew Tucker,Q02 Other AI risks and recommendations for regulation,The risk of sweeping unemployment and radically uneven distribution of the benefits of AI
10,Matthew Tucker,Q10 Ban on high-risk AI applications,Policing
10,Matthew Tucker,Q12 Trade impact of banning high-risk AI applications,"It could improve our standing in countries that value freedom and democracy, which would be good for trade"
10,Matthew Tucker,Q14 Risk-based approach to address AI risks,"A better approach might be to focus on the distribution of income, wealth and power as it is affected by AI, in addition to the tactical and technical level risks, such as privacy and misinformation"
10,Matthew Tucker,Q15 Benefits and limitations of risk-based approach,"I can see already that people are very focused on technical risks, such as privacy because of the history of risks that have arisen from social media. The risks of AI are broader scale and apply to the economy and society as a whole, in particular the risk of large scale unemployment and rapid concentration of wealth"
10,Matthew Tucker,Q20 Voluntary vs mandated compliance with risk-based approach,the danger of a strong regulatory approach is that it will concentrate the ownership of the technology in the hands of large companies that can navigate the regulatory framework
11,Codemaster Institute,Q01 Definitions,yes
11,Codemaster Institute,Q02 Other AI risks and recommendations for regulation,"model source not authenticated, verification by a trusted source"
11,Codemaster Institute,Q03 Non-regulatory actions to address AI risks,voluntary code of ethics
11,Codemaster Institute,Q04 Coordinating AI governance across government,verification of datasets used for training
11,Codemaster Institute,Q05 International models for AI governance,Japan overriding existing copyright and privacy laws for training models
11,Codemaster Institute,Q06 Public vs Private sector governance,"yes private should not require the same level of accountability, only voluntary codes"
11,Codemaster Institute,Q07 Responsible government use of AI,publishing guidelines and giving access to trusted data sources through a secure portal rather than by web scraping.
11,Codemaster Institute,Q08 Generic vs technology-specific approaches for AI risk,no opinion
11,Codemaster Institute,Q09 Transparency requirements and scope,a)datasets that the model is trained on b) only for public and high risk private sector uses
11,Codemaster Institute,Q10 Ban on high-risk AI applications,a no b violation of existing Australian privacy law or similar
11,Codemaster Institute,Q11 Actions to increase public trust in AI,Secure trusted datasets. Limited to chatbots by document rather than making the scope of the LLM too large
11,Codemaster Institute,Q12 Trade impact of banning high-risk AI applications,not feasible given the next wave of technology with embedded multi-modal recognition
11,Codemaster Institute,Q13 Changes to conformity infrastructure,an ability to allow individuals to create privacy settings that exclude their data from training sets
11,Codemaster Institute,Q14 Risk-based approach to address AI risks,support
11,Codemaster Institute,Q15 Benefits and limitations of risk-based approach,not possible to control this on a National level as the models are hosted anywhere
11,Codemaster Institute,Q16 Scope and application of risk-based approach,yes
11,Codemaster Institute,Q17 Elements to include in risk-based approach,not reviewed
11,Codemaster Institute,Q19 Application of risk-based approach to general purpose AI,no decision-making without human review. An analogue human decision process must always be offered as an alternative
11,Codemaster Institute,Q20 Voluntary vs mandated compliance with risk-based approach,a mandated for public only b deployer
12,Justin,Q01 Definitions,Yes
12,Justin,Q02 Other AI risks and recommendations for regulation,I am not so much interested in risks and think too much regulation will again put Australia at the back of the pack when it comes to AI development. We have a history of coming up with stifling regulation that ensures other countries become leaders before we do and get the full benefit of new technology and we either play catch up or remain at a disadvantage.
12,Justin,Q03 Non-regulatory actions to address AI risks,No.
12,Justin,Q04 Coordinating AI governance across government,I would like to see AI help with reducing workload for government employees and reduce waiting times for consumers when it comes to things like Passports etc.
12,Justin,Q05 International models for AI governance,"No, we should not follow what others do at this premature stage. We should wait and observe the consequences of this governance and see whether it encourages development or stunts it. AI has the potential to greatly benefit the population by finding new treatments for health issues faster and tailoring them to the individual, reducing costs of energy through better network management and we should allow this to occur."
12,Justin,Q06 Public vs Private sector governance,No.
12,Justin,Q07 Responsible government use of AI,Not sure.
12,Justin,Q08 Generic vs technology-specific approaches for AI risk,Not sure.
12,Justin,Q09 Transparency requirements and scope,I don't think transparency is important and could serve to cause more distrust as we have seen the rise of conspiracy theorists since Covid who actively troll and spread misinformation no matter what the evidence or data says. It is best if the public was minimally aware of the use of AI.
12,Justin,Q10 Ban on high-risk AI applications,"No applications or technologies should be banned until they have been proven to be a risk to human life and it has been proven that measures cannot be taken to minimize this risk. Banning applications and technologies has potential to stunt growth of the industry and ensure consumers miss out on what could be life changing medical advancements and cost savings when it comes to things like energy, transport, food."
12,Justin,Q11 Actions to increase public trust in AI,"Provide trucks to go to communities and educate them on the benefits of AI, show people examples of AI and educate them about the potential uses and dispel myths about AI taking over, ultimately AI use computers and if the AI is posing a risk it can be disconnected from the power supply. It will always rely on humans for existence."
12,Justin,Q12 Trade impact of banning high-risk AI applications,It would impact it negatively. Facial recognition has great potential when it comes to crime prevention and tracking of missing persons. Our trade partners may see Australia as a country that doesn't invest in innovative technology and would not see it as a high value partner.
12,Justin,Q13 Changes to conformity infrastructure,The conformity infrastructure is a barrier to trade and providing reduced costs to consumers.
12,Justin,Q14 Risk-based approach to address AI risks,No I don't.
12,Justin,Q16 Scope and application of risk-based approach,No I don't support a risk based approach at all.
12,Justin,Q20 Voluntary vs mandated compliance with risk-based approach,It should be voluntary.
13,Steven,Transcription,"FILENAME: AI Safety.c8dfe7ecc5169.docx | CONTENT: Hello,I have a few concerns with AI.What is stopping me from typing “Anthony Albanese’s murder confession” into ChatGPT and falsely accusing our prime minister of a crime he never committed. Or a deepfake video might be generated of me kidnapping somebody. It might not be a concern right now, but as the technology improves, it might be a concern in the future. This could have horrible implications for our justice system and the integrity of our elections. It’s pretty terrifying that in the future, if I ever have a grudge against someone, I can get AI to create false evidence of said person committing a crimeThere are three potential methods of countering this:Requiring ChatGPT and equivalent apps to limit what can be typed into themRequiring such apps to release source code so that we know exactly how they work and experts can better distinguish between fakes and legitimate worksCreate technology that can distinguish between fakes and l"
13,Steven,Q02 Other AI risks and recommendations for regulation,Safeguards to prevent future governments overturning them
13,Steven,Q03 Non-regulatory actions to address AI risks,"Yes, these are addressed in my uploaded submission"
13,Steven,Q04 Coordinating AI governance across government,Work with international governments as well as state/territory ones
13,Steven,Q06 Public vs Private sector governance,NO
13,Steven,Q07 Responsible government use of AI,Safeguards to ensure no future government can overturn them
13,Steven,Q08 Generic vs technology-specific approaches for AI risk,"Technology specific solutions are better to stop people from using AI to falsly accuse people of crimes and to change the results of elections, because the people who are inclined to use AI in this manner would likely ignore such legislation"
13,Steven,Q09 Transparency requirements and scope,a. Better access to source codes to mitigate unforeseeable consequences of deep learning
13,Steven,Q10 Ban on high-risk AI applications,"Legislation would achieve nothing. And if Australia manages to ban such technology, it's very easy to use technology available overseas. Any member of the public willing to use AI to cause malice would not be concerned with any laws preventing that, as such, those laws wouldn't be worth the paper they're written on. The only exception to this is limiting government misuse of AI. Safeguards need to be in place to prevent governments from overturning laws preventing malicious government use of AI"
13,Steven,Q11 Actions to increase public trust in AI,"Education, promotion of benefits, advertising campaigns addressing people's SPECIFIC concerns of AI. For example, advertising campaigns about how the government will prevent people from using AI to create false evidence for crimes, and how the government will prevent future governments from implementing social credit scores"
13,Steven,Q12 Trade impact of banning high-risk AI applications,Any country that wouldn't trade with Australia because of a lack of social scoring should not be traded with in the first place. Australia should not sacrifice our basic human rights in order to trade with evil dictatorships
13,Steven,Q13 Changes to conformity infrastructure,"Consider constitutional change Detailed information given to the public about how the government may use AI, and require future governments to publish detailed reports about how they wish to change such legislation (but not too detailed that the public is bored and/or unable to understand what's happening), extra governmental authorities to regulate how governments can use AI and to prevent the government from overturning safeguards, general education from school children to adults about the fundamentals of AI, how governments and others can abuse such technology in order to keep the public aware of any change in government policy"
13,Steven,Q14 Risk-based approach to address AI risks,Yes
13,Steven,Q15 Benefits and limitations of risk-based approach,They can be overturned by future governments and laws may be disobeyed by malicious actors or people can access malicious AI from overseas
13,Steven,Q19 Application of risk-based approach to general purpose AI,"We need to ensure some level of accuracy. Inaccurate translations, for example, could cause all sorts of problems"
13,Steven,Q20 Voluntary vs mandated compliance with risk-based approach,"Both, with oversight from the government and minimum laws"
14,A Palmer,General comment,"As a former IT professional, I am greatly concerned by the proliferation of AI from the point of view that bad actors will be free to impersonate and manipulate individuals and organizations without there being ROBUST legal ramifications. Let's just stop the roll out for a short while until appropriate legislation can catch up."
14,A Palmer,Q01 Definitions,n/a
14,A Palmer,Q04 Coordinating AI governance across government,"The approach should be national, and have far reaching consequences for actors operating from overseas. There should not be an AI haven (like a tax haven) anywhere in the world."
14,A Palmer,Q09 Transparency requirements and scope,All information generated by AI should be traceable back to the source and should be easily and transparently noted. Perhaps like a footnote or hyperlink that takes you directly to the source.
14,A Palmer,Q10 Ban on high-risk AI applications,"NO AI for Lethal weapons, weapons of mass destruction. If the legal structure is appropriate to monitor and regulate AI, then outright bans may not be necessary. It is for the legal fraternity to draft legislation that is robust and appropriate."
14,A Palmer,Q11 Actions to increase public trust in AI,Traceability. SO everyone knows what has been generated by AI.
14,A Palmer,Q20 Voluntary vs mandated compliance with risk-based approach,"Voluntary will not work when bad actors are at play. Should apply to both public and private, and developers and deployers. There needs to be a chain of responsibility.... a bit like selling stolen goods."
15,Martin Z'Graggen,Q01 Definitions,YES. What about deep learning?
15,Martin Z'Graggen,Q02 Other AI risks and recommendations for regulation,"I think the biggest challenge is to control the level, quality and kind of prompts fed into the AI systems to avoid unwanted biases. This could lead to deep fake news, images and more manipulation through the generative AI power of language (text output) to be spread and controlled through all media outlets. Whoever and or whatever has the best ""language"" - messages/stories to tell/spread, such as beliefs, values and more will ""rule"" the world (humankind). I think it is crucial as we (humans) interact with AI, AI needs to disclose their identity. Meaning their responses need to be classified as AI generated data/information."
15,Martin Z'Graggen,Q03 Non-regulatory actions to address AI risks,"In general terms no AI systrem can make a decision over a human. Meanining, AI generated data and information can be used to gather and analyse data, e.g. a person applying for a loan, but the final decision needs to be made by a human if the loan can be granted or not. Automation (AI-driven) should benefit humankind, e.g. take care of mondaine and repetivie tasks, but human intercations should remain above AI."
15,Martin Z'Graggen,Q04 Coordinating AI governance across government,"In general terms, as outlined, all juristictions need to work collaborative and ensure timely and relevant policy brief will be commissioned and acted upon to stay within reach of this fast-moving technology. As mentioned before, the key regulatory stipulations need to state clearly that humankind (human intelligence and activities) is above AI when it comes to decision-making over other humans, e.g. medical, health, court, and more. In addition, as long as the private sector has the upper hand (financial interests), it will be very challenging for governments across the world to manage/mitigate AI adequately. In my view, this needs to be carried forward by an overreaching multi-disciplinary agency, e.g. the Human Charta - United Nations, where all jurisdictions and private organisations have their say as well as their obligations to apply and monitor agreed regulatory applications to manage and mitigate the use of AI."
15,Martin Z'Graggen,Q05 International models for AI governance,"Again, I suggest that only a multi-jurisdictional approach of the regulation of AI will have the chance (opportunity) to mitigate the use of AI effectively."
15,Martin Z'Graggen,Q06 Public vs Private sector governance,No. It is important to have a systematic regulatory approach across all government-led agencies and the private sector.
15,Martin Z'Graggen,Q07 Responsible government use of AI,"With collaboration across all jurisdictions and private sector players, to manage and meet ongoing and ever-changing needs to manage and mitigate the use of AI for now and beyond."
15,Martin Z'Graggen,Q08 Generic vs technology-specific approaches for AI risk,"Human interactions and approaches should reign above AI-generated data and information and need to be seen as a tool to assist the betterment of humankind. E.g. in medicine and healthcare, in education, in automation of mondaine (work) tasks, and more"
15,Martin Z'Graggen,Q09 Transparency requirements and scope,Transparency needs to apply to all AI-generated data and information being used for potential decision-making processes.
15,Martin Z'Graggen,Q10 Ban on high-risk AI applications,"Banning of the emerging AI technology is wrong and will not work. We, as a society, need to make a decision on how we ant to live now and in the future. Mitigation and sense-making regulatory approaches are the way moving forward."
15,Martin Z'Graggen,Q11 Actions to increase public trust in AI,"Any AI-generated information and/or any AI interaction needs to be clearly identified as AI and cannot be used and/or spread as a human-generated message, data and/or information."
15,Martin Z'Graggen,Q12 Trade impact of banning high-risk AI applications,"Again, these issues can on,ly be solved, and agreed upon, on a global level."
15,Martin Z'Graggen,Q13 Changes to conformity infrastructure,"Again, these issues can on,ly be solved, and agreed upon, on a global level."
15,Martin Z'Graggen,Q14 Risk-based approach to address AI risks,Yes
15,Martin Z'Graggen,Q15 Benefits and limitations of risk-based approach,Not sure ....
15,Martin Z'Graggen,Q16 Scope and application of risk-based approach,It should be applied to all environments and settings.
15,Martin Z'Graggen,Q17 Elements to include in risk-based approach,Yes
15,Martin Z'Graggen,Q18 Integration of risk-based approach into existing frameworks,Not sure...more inter-disciplinary and collaborative reeserarch is required.
15,Martin Z'Graggen,Q19 Application of risk-based approach to general purpose AI,"In my view, the same as other Risk Assessment model within/applied to other areas of potential risk of causing harm."
15,Martin Z'Graggen,Q20 Voluntary vs mandated compliance with risk-based approach,"No, this must be a mandatory requirement."
16,Anonymous,Transcription,"FILENAME: Submission 16 - Attachment 1.d794a0adc2bac.pdf | CONTENT: On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? Emily M. Bender∗ Timnit Gebru∗ ebender@uw.edu timnit@blackinai.org University of Washington Black in AI Seattle, WA, USA Palo Alto, CA, USAAngelina McMillan-Major Shmargaret Shmitchell aymm@uw.edu shmargaret.shmitchell@gmail.com University of Washington The Aether Seattle, WA, USA ABSTRACT alone, we have seen the emergence of BERT and its variants [39, The past 3 years of work in NLP have been characterized by the 70, 74, 113, 146], GPT-2 [106], T-NLG [112], GPT-3 [25], and most development and deployment of ever larger language models, es- recently Switch-C [43], with institutions seemingly competing to pecially for English. BERT, its variants, GPT-2/3, and others, most produce ever larger LMs. While investigating properties of LMs and recently Switch-C, have pushed the boundaries of the possible both how they change with size holds scientific inter"
16,Anonymous,Transcription,"FILENAME: stochastic parrots paper.5da24ecab0f7e.pdf | CONTENT: On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? Emily M. Bender∗ Timnit Gebru∗ ebender@uw.edu timnit@blackinai.org University of Washington Black in AI Seattle, WA, USA Palo Alto, CA, USAAngelina McMillan-Major Shmargaret Shmitchell aymm@uw.edu shmargaret.shmitchell@gmail.com University of Washington The Aether Seattle, WA, USA ABSTRACT alone, we have seen the emergence of BERT and its variants [39, The past 3 years of work in NLP have been characterized by the 70, 74, 113, 146], GPT-2 [106], T-NLG [112], GPT-3 [25], and most development and deployment of ever larger language models, es- recently Switch-C [43], with institutions seemingly competing to pecially for English. BERT, its variants, GPT-2/3, and others, most produce ever larger LMs. While investigating properties of LMs and recently Switch-C, have pushed the boundaries of the possible both how they change with size holds scientific interest,"
